gl,account,code,count,source,conflicts
6512,6512 Countertop Refinishing / Paint,cs,8,"Greg - (Lewisville, TX) - Mason on Main",
6514,6514 CEILING FANS & LIGHT,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6514,6514 CEILING FANS & LIGHT KITS,rm,2,"Dylan - (Houston, TX) - The 910",
6515,6515 CLEANING,rm,8,"Dylan - (Houston, TX) - The 910",
6515,6515 Contract Grounds,cs,27,"Greg - (Lewisville, TX) - Mason on Main",
6515,6515 Contract Landscaping,cs,2,"Yonnic - (Sulphur Springs, TX) - The Choir",
6515,6515 Contract Lawn & Grounds,cs,6,"Guillermo - (Bryan, TX) - West University Gardens",
6515,6515 Contract - Lawncare,cs,4,"- (Garland, TX) - Colonial",
6515,6515 Contract - Monthly Landscape,cs,3,"Paul - (Corsicana, TX) - Northwood Village Apartments",
6515,6515 HVAC- Contractor,rm,2,"Yonnic -  (Waco, TX) - West Campus Lofts","recoded from 'cs' (standardized to majority ({'rm': 4, 'cs': 2}))"
6515,6515 - Janitorial,cs,2,"Jon - (San Antonio, TX) - The Selena Apartments","recoded from 'rm' (standardized to majority ({'cs': 7, 'rm': 2}))"
6515,6515 - Janitorial / Cleaning Supplies,rm,4,"Dylan - (Houston, TX) - Brookfield",
6515,6515 Lawn and Landscape Maintenance,cs,2,"Dylan  - (Dallas, TX) - Rosedale Apartments",
6515-0001,6515-0001 - Pool Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0002,6515-0002 - O&M - Hardware,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0003,6515-0003 - Grounds Maintenance / Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0004,6515-0004 - O&M - Plumbing Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0005,6515-0005 - O&M - Electrical Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0006,6515-0006 - O&M - Locks & Keys,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0007,6515-0007 - O&M - Blinds / Exhaust Fans / Disposals / Smoke Alarms,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0008,6515-0008 - O&M - Paint Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0009,6515-0009 - O&M - Appliance Parts,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0010,6515-0010 - Cleaning Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0011,6515-0011 - O&M - Drywall Supplies & Repairs,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0102,6515-0102 - Turnover - Hardware,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0103,6515-0103 - Turnover - Paint Labor,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0104,6515-0104 - Turnover - Blinds / Exhaust Fans / Disposals / Smoke Alarms,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0105,6515-0105 - Turnover - Electrical Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0106,6515-0106 - Turnover - Heating / Cooling (Hvac) Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0107,6515-0107 - Turnover - Paint Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0108,6515-0108 - Turnover - Appliance Parts,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0109,6515-0109 - Turnover - Glazing,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0110,6515-0110 - Turnover - Drywall Supplies & Repairs,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0111,6515-0111 - Turnover - Plumbing Supplies,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515-0112,6515-0112 - Turnover - Locks & Keys,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6515.005,6515.005 - Maint Supplies - Appliances,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.010,6515.010 - Maint Supplies - Carpet & Tile,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.015,6515.015 - Maint Supplies - Drapes & Blinds,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.020,6515.020 - Maint Supplies - Electrical,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.035,6515.035 - Maint Supplies - Life Safety,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.040,6515.040 - Maint Supplies - Lock & Keys,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.045,6515.045 - Maint Supplies - Plumbing,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.055,6515.055 - Maint Supplies - Structural/Bldg,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.060,6515.060 - Maint Supplies - Painting,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.065,6515.065 - Maint Supplies - Cleaning,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.070,6515.070 - Maint Supplies - Grounds,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6515.075,6515.075 - Maint Supplies - Pest Control,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6516,6516 Payroll Processing Service Fees,pr,2,"Guillermo - (Canyon, TX) - - Torres Evolution Canyon",
6516,6516 RESURFACING,rm,6,"Dylan - (Houston, TX) - The 910",
6517,6517 - Janitorial / Contract Cleaning,cs,4,"Dylan - (Houston, TX) - Brookfield",1xrm
6518,6518 DOORS AND HARDWARE,rm,6,"Dylan - (Houston, TX) - The 910",
6518,6518 - Plumbing Supplies / Repairs,rm,4,"Dylan - (Houston, TX) - Brookfield",
6519,6519 - Rprs/Maintenance/Laundry Maint/Make Ready,rm,2,"Danny - (Dallas, TX) - The Centennial Apartments",
6520,6520 - Carpets,rm,2,"Jon - (San Antonio, TX) - The Selena Apartments",
6520,6520 Contract Housekeeping / Cleaning,cs,34,"Yonnic - (Sulphur Springs, TX) - The Choir",
6520,6520 - Exterm / Pest Control Contract,cs,4,"Dylan - (Houston, TX) - Brookfield",
6520,6520 Housekeeping / Cleaning,cs,4,"Dylan  - (Dallas, TX) - Rosedale Apartments",
6520,6520 Pool- Contractor,cs,2,"Yonnic -  (Waco, TX) - West Campus Lofts",
6520-0003,6520-0003 - Contracts - Common Area Cleaning,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0005,6520-0005 - Pool Labor,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0006,6520-0006 - Exterior Building Repairs,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0008,6520-0008 - Contracts - Extermination / Pest Control,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0009,6520-0009 - Contracts - Landscaping,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0011,6520-0011 - O&M - Plumbing Labor,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0012,6520-0012 - O&M - Heating / Cooling (Hvac) Labor,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0013,6520-0013 - Occupied - Carpet / Floor Cleaning & Repairs,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0015,6520-0015 - O&M - Carpet/Vinyl/Tile/Flooring Replacement,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0016,6520-0016 - O&M - Electrical Labor,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0020,6520-0020 - Contracts - Fire & Safety,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0100,6520-0100 - Contracts - Unit Cleaning,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520-0104,6520-0104 - Turnover - Carpet / Floor Cleaning & Repairs,rm,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6520.000,6520.000 - Ad Valorem (Property) Taxes,tx,4,"Guillermo - (San Antonio, TX) - Lyra",
6520.035,6520.035 - Maint Contract - Life Safety,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6520.065,6520.065 - Maint Contract - Cleaning,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6520.070,6520.070 - Maint Contract - Grounds,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6520.075,6520.075 - Maint Contract - Pest Control,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6520.090,6520.090 - Maint Contract - Elevator,rm,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
65200,65200 - Pest Control,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6522,6522 DRIVEWAY/PARKING L,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6522,6522 Paint Supplies-Tu,rm,2,"Dylan - (Arlington, TX ) - Tristar Apartments",
65225,65225 - Pest Control Supplies & Other Services,cs,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6523,6523 Contract Paint-Tu,rm,2,"Dylan - (Arlington, TX ) - Tristar Apartments",
6524,6524 ELECTRICAL,rm,8,"Dylan - (Houston, TX) - The 910",
6525,6525 Contract Leasing,cs,12,"Greg - (Irving, TX) - Mandalay Apartments",
6525,6525 - Garbage / Trash Removal Contract,tr,4,"Dylan - (Houston, TX) - Brookfield",
6525-0000,6525-0000 - Garbage & Trash Removal,tr,2,"Guillermo - (Lubbock, TX) - Cantibury Pointe",
6525.000,6525.000 - Trash Removal,tr,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest",
6526,6526 EXTERMINATING SUPPL,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6526,6526 EXTERMINATING SUPPLIES,rm,2,"Dylan - (Houston, TX) - The 910",
6528,6528 FIRE & LIFE SAFETY EX,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
6528,6528 FIRE & LIFE SAFETY EXPENSE,rm,2,"Dylan - (Houston, TX) - The 910",
6529,6529 Cleaning Contract,rm,2,"Dylan - (Arlington, TX ) - Tristar Apartments",
6530,6530 Carpet & Floor- Contractor,cs,2,"Yonnic -  (Waco, TX) - West Campus Lofts",
6530,6530 Contract Maintenance,cs,52,"Yonnic - (Sulphur Springs, TX) - The Choir",
6530,6530 - Courtesy Patrol Contract,cs,2,"Danny - (Dallas, TX) - The Centennial Apartments",
6530,6530 GENERAL BUILDING,rm,6,"Dylan - (Houston, TX) - The 910",
6530,6530 Resurfacing Expe,rm,2,"Dylan - (Arlington, TX ) - Tristar Apartments",
6530.000,6530.000 - Other Taxes,tx,4,"Guillermo - (San Antonio, TX) - Lyra",
6530.000,6530.000 - Security,cs,2,"Dylan - (Bryan, TX) - Serenity at Briarcrest","recoded from 'rm' (standardized to majority ({'cs': 23, 'ad': 2, 'rm': 6}))"
65300,65300 - Rubs Service,o,2,"Dylan - (Houston, TX) - Corridor at Westchase",
6532,6532 GATES AND REMOTES,rm,2,"Guillermo - (Dallas, TX) - Eclipse of White Rock",
6532,6532 GLASS-SCREEN-MIRROR,rm,4,"Jackson - (Lufkin, TX) - Falling Water",
